dataset cartas;carta1;carta2;carta3;energy;Pd;Pn
;26178;25842;42.07;;25842;5978
;26273;28348;32.39;;28348;6027
;26415;27740;34.47;;27740;6031
;26389;26046;40.61;;26046;6033
;24480;25796;30.18;;25796;6194
;23847;22950;41.74;;22950;6098
;25255;26743;34.75;;26743;6513
;25553;27133;29.92;;27133;6768
;25387;28098;29.1;;28098;7091
;25551;27073;30.83;;27073;7099
;26297;30944;13.01;;30944;6593
;24582;29329;11.76;;29329;6442
;24256;29828;15.73;;29828;6487
;22063;27527;27.56;;27527;7060
;25052;24100;27.7;;24100;6099
;25461;30389;28.27;;30389;7109
;23574;29880;31.33;;29880;7098
;22764;26086;16.11;;26086;5085
;24179;21325;21.05;;21325;6075
;24384;25864;27.93;;25864;6976
;26511;23973;29.2;;23973;6946
;27033;25905;32.02;;25905;6962
;22068;20398;23.96;;20398;7006
;23074;21578;34.57;;21578;6031
;25536;24790;33.04;;24790;5060
;24111;27114;31.18;;27114;7100
;23820;25479;31.72;;25479;7110
;25723;25100;44.59;;25100;7108
;25730;26316;39.64;;26316;7104
;25932;25297;44.31;;25297;7106
;25690;25732;45.53;;25732;7102
;25353;24640;43.76;;24640;7102
;23765;23905;41.28;;23905;7102
;23664;23499;40.3;;23499;7106
;24779;26165;36.23;;26165;7103
;24650;28456;34.67;;28456;7100
;24365;29727;31.81;;29727;7098
;22610;25945;35.1;;25945;7105
;22029;26785;37.14;;26785;6981
;22285;29098;19.96;;29098;5755
;20958;26090;19.91;;26090;5201
;22112;25997;24.58;;25997;5739
;23186;24623;31.86;;24623;6904
;23180;26502;28.41;;26502;7092
;20644;29444;29.19;;29444;6080
;24046;26855;37.62;;26855;6101
;24532;28182;24.18;;28182;7112
;22168;25739;27.74;;25739;7101
;22692;22601;21.87;;22601;5086
;23070;21800;27.32;;21800;6070
;23321;24993;24.81;;24993;6977
;25399;24166;24.78;;24166;6932
;24191;23451;24.84;;23451;6962
;23075;23276;18.75;;23276;6986
;22543;23648;17.22;;23648;6028
;22286;26688;23.24;;26688;5058
;23634;28725;25.85;;28725;7094
;23503;26169;27.25;;26169;7098
;23458;23387;27.41;;23387;7104
;23310;29974;25.21;;29974;7081
;21645;25641;24.04;;25641;7096
;21930;23642;27.24;;23642;7098
;23667;30095;12.4;;30095;7090
;23380;26781;26.41;;26781;7097
;23425;26892;27.41;;26892;7091
;23424;23731;31.71;;23731;7072
;22723;23152;29.47;;23152;7096
;20719;27245;20.26;;27245;7092
;27283;26698;18.56;;26698;7093
;22578;25041;29.05;;25041;7094
